Stations,Start,End
ackroyd drive,1005,927
new road 1 ,1513,1518
argyle street,3469,3050
cartwright gardens ,1036,1005
whitehall place,1872,2117
claverton street,954,824
knightsbridge,633,392
gaywood  street,1095,1042
endsleigh gardens,1371,1323
wenlock road ,1157,956
westminster bridge road,274,224
tooley street,2676,2679
bethnal green garden,809,793
hewison street,765,765
park lane,578,581
st. john's wood road,971,693
bonny street,1539,1389
tavistock place,1075,980
somerset house,1102,1230
new kent road,975,944
newton street,741,767
birkenhead street,1339,1257
wren street,1135,1131
irene road,495,477
world's end place,973,999
farringdon lane,711,714
bucknall street,1536,1571
princes square,550,471
the metropolitan,413,410
harrington square 1,791,623
gas holders,1862,1842
gloucester road station,1882,1864
holy trinity brompton,1174,1188
albert embankment,769,753
vauxhall cross,1711,1679
riverlight north,1180,1189
vauxhall bridge ,634,645
simpson street,1069,1067
antill road,587,621
albert gardens,912,820
tysoe street,1134,1098
southwark station 2,1536,1484
driffield road,644,655
tower wharf,1140,1164
william iv street,1490,1530
fournier street,1313,1324
wapping high street,509,519
usk road,717,710
st. john's road,1167,1174
limerston street,2103,2159
grenfell road,435,454
mexfield road,195,187
osiers road,639,667
south audley street,531,569
jubilee street,721,659
broadwick street,1325,1379
snowsfields,1308,1404
fashion street,912,888
aylward street,686,609
notting hill gate station,1541,1329
orbel street,690,667
crisp road,946,969
bishop's avenue,650,648
duke street hill,2940,2995
long lane ,962,960
gower place ,1037,1034
jubilee plaza,1390,1613
west smithfield rotunda,1382,1315
elgin avenue,847,858
queen mother sports centre,1208,1164
eastbourne mews,2305,2009
sackville street,1136,1192
grove end road,764,717
gauden road,1107,1096
vauxhall walk,344,405
haggerston road,1007,1025
bancroft road,739,634
beryl road,963,974
canada water station,1208,1210
brunswick square,1452,1479
guilford street ,1604,1608
west cromwell road,782,805
old brompton road,1142,1112
bell lane,1220,1218
langdon park,407,404
old street station,2647,2645
waterloo station 1,3888,3686
old quebec street,1507,1507
castlehaven road,1269,1264
great tower street,1834,2156
cleveland way,1622,1591
clarges street,496,532
grosvenor road,770,621
lancaster gate ,1452,835
waterloo place,863,771
bayswater road,1565,1412
boston place,1899,1254
stephendale road,1128,1067
hortensia road,777,798
emperor's gate,1205,1175
imperial wharf station,1279,1283
sadlers sports centre,1103,1095
stepney green station,1649,1665
handyside street,1361,1346
goswell road (city uni),825,827
spencer park,147,154
porchester place,1427,1396
normandy road,842,845
park lane ,1149,1198
exhibition road,3528,4164
hop exchange,3310,3840
battersea park road,2899,2861
shoreditch high street,1553,1551
aldersgate street,1724,1734
graham street,1116,950
teversham lane,622,620
saltoun road,739,718
shadwell station,1089,1017
furze green,1114,1101
butler place,845,875
regency street,1075,981
tanner street,1322,1270
brandon street,1041,1020
cheapside,2079,2003
embankment (savoy),658,901
shoreditch park,1047,1002
st. james's square,2503,3836
allington street,2694,2704
hereford road,993,954
crosswall,2230,2388
tower gardens ,1503,1516
chelsea green,664,660
westbourne grove,897,822
globe town market,904,853
bow road station,826,791
naval row,392,399
good's way,1601,1584
charlotte terrace,508,448
pall mall east,1091,1128
millennium hotel,436,483
bell street ,945,969
woodstock grove,1307,1302
kensington olympia station,696,684
michael road,660,673
panton street,1531,1577
spindrift avenue,386,432
blythe road west,577,542
parson's green ,1092,1096
margery street,651,648
pott street,971,975
grant road east,1218,1234
wandsworth town station,758,751
trebovir road,926,915
lmu commercial road,987,1001
leonard circus ,1389,1428
doric way ,1478,1296
sloane avenue,1036,1065
sandilands road,875,849
malet street,2260,2217
star road,687,663
queen's gate (south),1050,1008
queen's circus,1160,1138
nevern place,825,706
bethnal green road,1952,1878
falkirk street,842,720
lincoln's inn fields,1051,1378
holborn circus,1805,2753
baylis road,2238,2231
drummond street ,454,445
lisson grove,480,473
clapham south,864,864
clarence walk,576,563
felsham road,504,493
courland grove,863,811
aston street,761,695
barons court station,1071,1078
wellington row,850,789
st. martin's street,706,787
percy street,1147,1197
chrisp street market,489,490
devons road,896,863
belford house,278,278
silverthorne road,780,715
imperial road,519,540
holden street,296,300
northington street ,1326,1325
howland street,1528,1568
westbridge road,1791,1771
cranmer road,1184,1135
southwick street,1236,1071
westbourne park road,560,531
hoxton station,1104,1091
pritchard's road,1303,1175
wendon street,480,485
foley street,1436,1447
westbourne green,653,645
heath road,389,315
concert hall approach,757,743
twig folly bridge,725,714
all saints church,1264,1246
drayton gardens,1436,1458
baldwin street,995,1002
sutton street,1182,1084
store street,1171,1183
harriet street,964,967
cheshire street,770,647
old montague street,973,958
stratford station,1187,1185
timber lodge,578,604
princedale road ,464,452
freston road,316,326
crawford street,981,1017
upcerne road,624,573
stanley grove,606,570
dorothy road,790,807
finsbury leisure centre,1503,1467
wormwood street,3214,3215
warwick avenue station,871,865
leman street,1435,1372
sancroft street,503,542
tachbrook street,947,933
caldwell street,1046,1007
albert square,949,881
stanhope gate,559,536
fisherman's walk west,704,721
preston's road,533,519
berry street,1087,1016
chepstow villas,650,622
wandsworth rd,620,557
nesham street,1508,1500
columbia road,949,863
clarkson street,584,501
sumner place,909,932
queen street 1,2571,3036
bbc white city,1279,1349
blythe road,830,792
hyde park corner,3211,2781
pitfield street north,1293,1125
dickens square,629,575
clapham common station,1693,1738
victory place,616,579
ampton street ,746,621
royal avenue 1,537,528
kennington station,737,706
kensington church street,1027,1046
flood street,1736,1777
queen's gate (central),1134,1209
lindfield street,913,909
westferry dlr,924,1018
pembridge villas,609,613
turquoise island,749,754
westferry circus,1088,1184
cotton garden estate,702,637
selby street,766,783
durant street,760,674
eversholt street ,696,700
cromer street,639,586
salmon lane,1121,1007
beaumont street,1056,1060
calshot street ,662,574
waterloo road,739,790
hampton street,1032,1021
swan street,981,901
park road (baker street),1637,1677
lavington street,709,702
ontario street,1085,1093
arundel street,838,849
ebury bridge,802,780
sedding street,1369,1454
abingdon green,909,1009
lansdowne drive,713,703
new fetter lane,1233,973
northdown street,689,658
the vale,871,868
hatton wall,1500,1410
st. george's square,1127,1034
blackfriars station,1879,2067
parsons green station,1104,1064
st. luke's church,930,923
gloucester road (north),1028,1047
disraeli road,476,447
chesilton road,866,862
putney bridge station,586,566
vincent square,490,495
crimscott street,971,940
vicarage crescent,889,895
walnut tree walk,781,748
chelsea bridge,656,653
coomer place,1286,1261
penywern road,968,991
tyers gate,797,844
warren street station,2486,2505
gloucester road (central),877,868
kennington oval,678,719
new globe walk,767,750
bolsover street,1165,1161
charlbert street,506,497
rainville road,486,497
everington street,690,736
wapping lane,1275,1222
mile end stadium,692,651
golden square,1222,1261
new north road 2,505,479
maida vale,1322,1297
horseferry road,1143,1152
harford street,823,817
east village,951,948
british museum,1521,1508
royal london hospital,2487,2514
regent's row ,1569,1570
webber street ,874,854
christian street,1169,960
harris academy,838,836
clerkenwell green,1117,1100
abingdon villas,610,622
cantrell road,280,264
putney pier,721,717
battersea power station,1931,1926
brick lane market,768,777
coram street,794,761
killick street,227,236
malmesbury road,219,203
flamborough street,1373,1362
erin close,1028,1020
st. mary & st. michael church,256,235
nutford place,801,718
charing cross hospital,957,970
park street,585,614
ford road,858,875
ram street,910,905
heron quays dlr,95,144
baker street,1120,1145
ravenscourt park station,1023,1046
falcon road,1586,1614
south quay east,142,173
york hall,930,960
ada street,827,794
greyhound road,1009,1000
evesham street,212,238
palissy street,731,640
goldsmith's row,1116,874
harrowby street,802,752
hollybush gardens,363,392
waterloo bridge,613,665
wellington road,730,679
strata,1866,1857
lexham gardens,888,953
phene street,890,913
queensway,1426,1417
new cavendish street,1089,1090
st. katharine's way,655,658
upper richmond road,419,384
cadogan gardens,1116,1107
danvers street,624,626
moor street,1797,1836
binfield road,1221,1203
sidney road,613,562
hammersmith road,1542,1598
kensington town hall,369,366
gascoyne road,673,689
ansell house,1299,1154
queen mary's,1614,1581
abbey orchard street,1119,1395
liverpool road (n1 centre),1364,1365
hibbert street,732,759
chicheley street,1787,1769
lambeth north station,1018,1025
cleaver street,506,500
shouldham street,695,629
seymour place,1048,1041
vincent street,1046,1027
knaresborough place,943,952
sardinia street,1181,1427
ethelburga estate,1594,1648
warwick square,1102,930
bedford way,941,953
watney market,805,849
bankside mix,1108,1200
cephas street,777,701
charles ii street,939,908
lambeth road,753,744
london street,2974,2509
windsor terrace,1074,965
curlew street,1333,1339
bermondsey station,1023,1084
west kensington station,613,624
cadogan place,628,655
westfield library corner,795,847
southerton road,752,724
albert street,649,581
hermitage court,714,669
stamford street,1323,1406
kennington cross,1371,1277
belgrave square,490,488
fulham broadway,1982,1990
euston road,727,756
argyll road,708,680
eaton square (south),421,477
seville street,1037,1016
reardon street,840,727
watney street,948,855
craven street,2005,2054
fire brigade pier,671,598
islington green,1931,1851
mostyn grove,670,605
russell square station,1282,1209
south kensington station,1688,1694
colet gardens,236,245
great dover street,1438,1299
burdett road,1090,1073
montserrat road ,324,366
paddington green,359,316
clifton street,542,546
rectory square,625,580
rampayne street,1178,1160
page street,1355,1445
hartington road,848,826
aberdeen place,582,615
clifton road,872,888
albany street,679,584
dorset square,1556,1570
carnegie street,783,601
sail street,806,763
fawcett close,387,334
lambeth palace road,1777,1799
bunhill row,1370,1397
rochester row,760,754
smith square,1086,1196
bath street,1571,1581
ashley crescent,855,779
bermondsey street,1282,1289
clinton road,600,561
pont street,1081,1115
st. john's park,263,257
bridge avenue,1062,1084
gwendwr road,617,595
smugglers way,819,791
kennington road,963,898
belvedere road 1,1058,1076
gunmakers lane,612,589
hoxton street,609,569
rodney road ,648,643
central house,1544,1560
new inn yard,1110,1114
east ferry road,210,201
walworth square,1576,1576
city road,961,830
copper box arena,632,659
claremont square,701,638
alfreda street,666,664
great percy street,856,768
portman square,800,817
nantes close,218,232
putney bridge road,321,326
garnet street,641,560
lansdowne road,833,823
sirdar road,121,120
borough road,874,875
cloudesley road,793,564
collingham gardens,912,915
eaton square,370,371
shoreditch court,655,640
devonshire terrace,1210,1122
great suffolk street,886,910
st mary's hospital,1368,1304
crabtree lane,604,614
elysium place,414,378
maplin street,1722,1663
braham street,1605,1601
granby street,1034,923
philpot street,809,784
stewart's road,374,358
harper road,402,460
bromley high street,668,676
tate modern,1451,1467
addison road,453,442
palace gardens terrace,1137,1028
